구별,동,인구수_계,인구수_남,인구수_여,19세 이상_계,19세 이상_남,19세 이상_여,65세 이상_계,65세 이상_남자,65세 이상_여자,세대수,재외국민
수정구,신흥1동         ,13511,7107,6404,12381,6519,5862,2567,1073,1494,7898,9
수정구,신흥2동         ,20239,9911,10328,17042,8328,8714,2686,1277,1409,7693,22
수정구,신흥3동         ,11309,5893,5416,10318,5377,4941,2020,878,1142,6450,9
수정구,태평1동         ,15566,7960,7606,14446,7376,7070,3053,1330,1723,8780,23
수정구,태평2동         ,15696,7853,7843,13999,6991,7008,2774,1156,1618,7976,19
수정구,태평3동         ,13566,6956,6610,12138,6236,5902,2471,1068,1403,6904,14
수정구,태평4동         ,13529,6830,6699,11800,5966,5834,2315,993,1322,6653,10
수정구,수진1동         ,12611,6552,6059,11658,6044,5614,2743,1177,1566,7370,10
수정구,수진2동         ,16161,8125,8036,14429,7249,7180,3093,1395,1698,7826,31
수정구,단대동          ,15866,7843,8023,13670,6696,6974,2665,1126,1539,6794,21
수정구,산성동          ,10043,5179,4864,8851,4557,4294,1924,852,1072,4938,22
수정구,양지동          ,9998,4932,5066,8585,4223,4362,1761,755,1006,4361,5
수정구,복정동          ,11081,6107,4974,9991,5544,4447,1061,504,557,6732,30
수정구,위례동          ,45649,22343,23306,36882,17967,18915,5112,2368,2744,17628,125
수정구,신촌동          ,4823,2549,2274,3893,2062,1831,534,240,294,2075,8
수정구,고등동          ,8685,4306,4379,7526,3700,3826,1167,523,644,4056,17
수정구,시흥동          ,3235,1721,1514,2933,1562,1371,643,315,328,1692,13
중원구,성남동          ,33963,17581,16382,30736,15959,14777,5488,2490,2998,18163,40
중원구,중앙동          ,14109,7481,6628,12466,6608,5858,2655,1209,1446,7228,15
중원구,금광1동         ,7023,3611,3412,6199,3182,3017,1138,529,609,3329,6
중원구,금광2동         ,24627,12042,12585,21714,10612,11102,4141,1851,2290,11794,37
중원구,은행1동         ,10647,5195,5452,9104,4416,4688,1587,681,906,4538,5
중원구,은행2동         ,24568,12218,12350,21559,10625,10934,4425,1846,2579,11285,30
중원구,상대원1동       ,25889,13377,12512,22622,11678,10944,4019,1789,2230,12087,29
중원구,상대원2동       ,13759,7138,6621,12408,6453,5955,2567,1131,1436,7105,18
중원구,상대원3동       ,12547,6569,5978,11211,5866,5345,2229,1014,1215,6469,9
중원구,하대원동        ,21169,10672,10497,18164,9106,9058,3008,1378,1630,8414,23
중원구,도촌동          ,27841,13540,14301,22401,10723,11678,3341,1434,1907,10894,42
분당구,분당동          ,26434,13004,13430,21827,10601,11226,3442,1595,1847,10380,88
분당구,수내1동         ,18104,8640,9464,14839,6934,7905,2265,939,1326,7753,124
분당구,수내2동         ,10649,5181,5468,7649,3694,3955,1113,492,621,3210,53
분당구,수내3동         ,14039,6957,7082,10781,5248,5533,1191,518,673,5209,23
분당구,정자동          ,19765,9866,9899,16641,8291,8350,2322,1086,1236,8292,63
분당구,정자1동         ,31041,14602,16439,26041,12112,13929,3704,1711,1993,14080,338
분당구,정자2동         ,15934,7553,8381,13822,6404,7418,2549,934,1615,7662,53
분당구,정자3동         ,15587,7560,8027,12660,6028,6632,2008,847,1161,6150,58
분당구,서현1동         ,32360,15634,16726,25971,12387,13584,3697,1634,2063,12753,158
분당구,서현2동         ,18771,9261,9510,15290,7449,7841,2076,936,1140,6779,63
분당구,이매1동         ,25943,12657,13286,20854,10068,10786,3189,1432,1757,9118,74
분당구,이매2동         ,13715,6715,7000,11048,5299,5749,1985,909,1076,4525,52
분당구,야탑1동         ,17699,8765,8934,15230,7500,7730,2646,1223,1423,7742,53
분당구,야탑2동         ,16815,7992,8823,13926,6539,7387,2863,1314,1549,6244,86
분당구,야탑3동         ,29139,14369,14770,25122,12322,12800,4095,1738,2357,13129,58
분당구,판교동          ,23899,11714,12185,17719,8523,9196,2056,955,1101,7904,85
분당구,삼평동          ,24890,12123,12767,19409,9302,10107,2407,1069,1338,9132,36
분당구,백현동          ,27690,13365,14325,22031,10441,11590,2759,1211,1548,10243,92
분당구,금곡동          ,28797,13525,15272,24812,11530,13282,4739,1984,2755,12533,165
분당구,구미1동         ,17808,8595,9213,15007,7185,7822,2234,988,1246,7346,61
분당구,구미동          ,31389,15068,16321,26763,12703,14060,5064,2172,2892,13191,159
분당구,운중동          ,21596,10541,11055,17253,8315,8938,2334,1088,1246,7849,125
